iter	Passed	Remaining
0	2	2485
1	4	2425
2	7	2365
3	9	2331
4	11	2339
5	13	2315
6	16	2328
7	18	2324
8	20	2305
9	23	2306
10	25	2296
11	27	2290
12	30	2291
13	32	2284
14	34	2289
15	37	2283
16	39	2281
17	41	2281
18	44	2280
19	46	2291
20	49	2301
21	51	2304
22	54	2306
23	56	2307
24	59	2318
25	61	2314
26	64	2317
27	66	2310
28	69	2312
29	71	2306
30	73	2300
31	76	2301
32	78	2310
33	81	2314
34	84	2316
35	86	2320
36	89	2321
37	91	2319
38	94	2326
39	96	2324
40	99	2327
41	101	2324
42	104	2324
43	106	2323
44	109	2323
45	111	2321
46	114	2316
47	116	2314
48	119	2310
49	121	2309
50	123	2305
51	126	2300
52	128	2300
53	130	2294
54	133	2290
55	135	2286
56	137	2280
57	140	2279
58	142	2275
59	144	2271
60	147	2267
61	149	2263
62	152	2260
63	154	2261
64	157	2259
65	159	2256
66	161	2252
67	164	2250
68	166	2246
69	168	2245
70	171	2240
71	173	2237
72	175	2234
73	178	2230
74	180	2228
75	182	2224
76	185	2221
77	187	2220
78	190	2217
79	192	2217
80	195	2217
81	197	2215
82	200	2212
83	202	2209
84	205	2208
85	207	2210
86	210	2206
87	212	2203
88	215	2201
89	217	2198
90	219	2193
91	222	2191
92	224	2188
93	226	2186
94	229	2183
95	231	2180
96	233	2178
97	236	2174
98	238	2172
99	241	2174
100	243	2170
101	246	2169
102	248	2165
103	251	2163
104	253	2159
105	255	2156
106	258	2155
107	260	2152
108	263	2150
109	265	2146
110	267	2143
111	270	2141
112	272	2138
113	274	2136
114	277	2133
115	279	2129
116	282	2128
117	284	2125
118	286	2124
119	289	2121
120	291	2119
121	294	2116
122	296	2113
123	298	2111
124	301	2109
125	303	2106
126	305	2102
127	308	2099
128	310	2094
129	312	2091
130	314	2088
131	317	2086
132	319	2083
133	322	2081
134	324	2079
135	326	2077
136	329	2074
137	332	2074
138	335	2075
139	337	2075
140	340	2074
141	342	2071
142	345	2069
143	347	2066
144	350	2064
145	352	2061
146	354	2059
147	357	2058
148	360	2056
149	362	2054
150	365	2053
151	368	2055
152	371	2056
153	373	2054
154	377	2056
155	379	2055
156	382	2055
157	385	2054
158	388	2056
159	392	2060
160	396	2065
161	399	2067
162	402	2066
163	405	2065
164	408	2067
165	411	2066
166	413	2064
167	416	2064
168	420	2069
169	423	2068
170	426	2069
171	430	2070
172	432	2069
173	435	2068
174	438	2067
175	441	2066
176	444	2066
177	447	2067
178	450	2066
179	453	2063
180	456	2066
181	460	2068
182	463	2068
183	466	2068
184	469	2068
185	472	2066
186	476	2070
187	478	2068
188	481	2066
189	484	2064
190	487	2064
191	490	2062
192	493	2063
193	496	2062
194	499	2062
195	502	2061
196	505	2058
197	508	2059
198	511	2059
199	515	2060
200	517	2058
201	520	2057
202	523	2056
203	527	2057
204	530	2057
205	533	2055
206	536	2053
207	539	2054
208	542	2053
209	545	2052
210	548	2050
211	551	2048
212	553	2046
213	557	2046
214	559	2044
215	562	2040
216	564	2037
217	567	2034
218	569	2031
219	572	2029
220	574	2025
221	577	2023
222	579	2020
223	582	2018
224	585	2016
225	587	2013
226	590	2009
227	592	2005
228	594	2002
229	596	1998
230	599	1995
231	602	1993
232	604	1990
233	607	1988
234	609	1984
235	611	1981
236	614	1977
237	616	1975
238	619	1973
239	621	1969
240	624	1966
241	626	1962
242	628	1958
243	631	1955
244	633	1952
245	635	1948
246	637	1944
247	640	1941
248	642	1938
249	644	1934
250	647	1931
251	649	1928
252	651	1924
253	654	1921
254	656	1918
255	658	1915
256	661	1911
257	663	1908
258	665	1905
259	668	1901
260	670	1897
261	672	1894
262	674	1891
263	677	1887
264	679	1884
265	681	1880
266	683	1877
267	686	1874
268	688	1871
269	691	1868
270	693	1865
271	695	1862
272	697	1858
273	700	1855
274	702	1851
275	704	1848
276	707	1845
277	709	1842
278	711	1839
279	714	1836
280	716	1833
281	718	1830
282	721	1827
283	723	1824
284	726	1821
285	728	1818
286	730	1814
287	732	1811
288	734	1808
289	737	1805
290	739	1801
291	741	1798
292	744	1795
293	746	1792
294	748	1789
295	750	1786
296	753	1782
297	755	1779
298	757	1776
299	760	1773
300	762	1770
301	764	1767
302	766	1763
303	769	1760
304	771	1757
305	773	1754
306	775	1751
307	778	1748
308	780	1746
309	783	1743
310	785	1740
311	787	1737
312	790	1734
313	792	1731
314	794	1728
315	797	1725
316	799	1722
317	801	1718
318	803	1715
319	806	1713
320	808	1710
321	810	1707
322	813	1704
323	816	1702
324	819	1701
325	821	1698
326	824	1696
327	828	1696
328	830	1694
329	833	1692
330	836	1690
331	839	1688
332	841	1686
333	844	1684
334	847	1682
335	850	1680
336	853	1678
337	856	1676
338	860	1677
339	863	1676
340	866	1675
341	869	1673
342	872	1672
343	875	1669
344	878	1667
345	881	1665
346	883	1663
347	887	1663
348	890	1661
349	893	1659
350	896	1657
351	900	1656
352	902	1654
353	905	1653
354	908	1650
355	911	1648
356	913	1645
357	917	1644
358	920	1643
359	923	1642
360	926	1639
361	929	1637
362	931	1635
363	934	1632
364	937	1630
365	939	1628
366	942	1626
367	946	1624
368	948	1622
369	951	1620
370	954	1618
371	956	1615
372	959	1613
373	963	1612
374	966	1610
375	969	1608
376	972	1606
377	975	1604
378	978	1603
379	981	1601
380	984	1599
381	987	1597
382	990	1595
383	993	1593
384	995	1590
